Seed,Model,dTTL_%,TPR,AUROC,AUPRC,TPR_degradation
42,Standard MLP,0,0.4352113297449925,0.6677682995247077,0.7511333292610429,0.0
42,Standard MLP,-2,0.42923321274155124,0.6663699793833364,0.7495881500468522,0.005978117003441252
42,Standard MLP,-5,0.4199020559428219,0.6627845773285861,0.7464282357677956,0.01530927380217062
42,Standard MLP,-10,0.40573987470219713,0.6584233639025949,0.7423355012190466,0.029471455042795358
42,Standard MLP,-15,0.39407041383570107,0.6533101281595722,0.7379319767358775,0.04114091590929142
123,Standard MLP,0,0.40110738551133857,0.6631622778253414,0.7444933737995101,0.0
123,Standard MLP,-2,0.3951513279802347,0.6609778361923204,0.7424036322870231,0.005956057531103842
123,Standard MLP,-5,0.3864378364069532,0.657054650852211,0.738902180295826,0.014669549104385393
123,Standard MLP,-10,0.3747021971234448,0.6520337781198653,0.7343337912666812,0.02640518838789374
123,Standard MLP,-15,0.3639151151504456,0.6470786718289807,0.7300880430550218,0.037192270360892954
2026,Standard MLP,0,0.42865966646077824,0.6508620958048845,0.7450754663181771,0.0
2026,Standard MLP,-2,0.4234977499338216,0.6497266139783126,0.74358982331578,0.005161916526956634
2026,Standard MLP,-5,0.4151813288626136,0.6462833253044804,0.7404964376737782,0.013478337598164636
2026,Standard MLP,-10,0.40412953322156536,0.6424237308648982,0.7364824225266506,0.02453013323921288
2026,Standard MLP,-15,0.39314391599752935,0.6377406226375497,0.7321178483792821,0.035515750463248896
