,,TPR,TPR,AUROC,AUROC,AUPRC,AUPRC,TPR_degradation,TPR_degradation
,,mean,std,mean,std,mean,std,mean,std
Model,dTTL_%,,,,,,,,
Original,-15,0.6931747992588018,0.021330414732861545,0.8901490591336946,0.006263976164526832,0.9161802521917745,0.005393973869541486,0.05324421306509016,0.0057895644443510495
Original,-10,0.7109914997499928,0.020720930221850974,0.8911262910753336,0.006720930562279083,0.9165381609173865,0.005758732107378959,0.035427512573899235,0.0037573051643267187
Original,-5,0.7284552486837849,0.02044556501809012,0.8918831592224891,0.007056860816578756,0.916727429465892,0.00597766163342603,0.017963763640107062,0.0022619655720651018
Original,-2,0.7396320480014117,0.019332796206757864,0.8922979684219646,0.007247131952777134,0.9167740488626217,0.006069905586894674,0.006786964322480086,0.0008635186950583358
Original,0,0.746419012323892,0.018878092934937873,0.8922724319991925,0.007411996685505113,0.9165572754758545,0.006162374497213507,0.0,0.0
TTL-aware,-15,0.7098002882437718,0.01681692025454721,0.8874076991930605,0.006588694514700248,0.9130634753799344,0.006094982794636668,0.034773081561222385,0.0029765032755150636
TTL-aware,-10,0.7216756375187505,0.01702429683990682,0.8880747888650143,0.006976109903320757,0.9132923059405048,0.0063316160691573135,0.022897732286243738,0.0015994258411121355
TTL-aware,-5,0.7328671431512692,0.016411436970388275,0.8885815948084325,0.007342502602440854,0.9134201232045326,0.006527366698291858,0.01170622665372508,0.0008088138949052733
TTL-aware,-2,0.74038942321833,0.016402257328034714,0.8888200004690122,0.0076107900855720174,0.9134334080974099,0.006661899396618627,0.004183946586664322,0.0002253235896061972
TTL-aware,0,0.7445733698049942,0.01662703369418503,0.8887436690308063,0.007832099557649918,0.9132459623256198,0.006796848136184613,0.0,0.0
