Model,dTTL_%,TPR,AUROC,AUPRC,TPR_degradation
Original,-15,0.6931747992588018,0.8901490591336946,0.9161802521917745,0.05324421306509016
Standard MLP,-15,0.38370981499455864,0.6460431408753675,0.7333792893900605,0.03794964557781109
TTL-aware,-15,0.7098002882437718,0.8874076991930605,0.9130634753799344,0.034773081561222385
Original,-10,0.7109914997499928,0.8911262910753336,0.9165381609173865,0.035427512573899235
Standard MLP,-10,0.3948572016824024,0.6509602909624528,0.7377172383374595,0.026802258889967328
TTL-aware,-10,0.7216756375187505,0.8880747888650143,0.9132923059405048,0.022897732286243738
Original,-5,0.7284552486837849,0.8918831592224891,0.916727429465892,0.017963763640107062
Standard MLP,-5,0.40717374040412957,0.6553741844950925,0.7419422845791331,0.014485720168240216
TTL-aware,-5,0.7328671431512692,0.8885815948084325,0.9134201232045326,0.01170622665372508
Original,-2,0.7396320480014117,0.8922979684219646,0.9167740488626217,0.006786964322480086
Standard MLP,-2,0.4159607635518692,0.6590248098513231,0.7451938685498852,0.005698697020500576
TTL-aware,-2,0.74038942321833,0.8888200004690122,0.9134334080974099,0.004183946586664322
Original,0,0.746419012323892,0.8922724319991925,0.9165572754758545,0.0
Standard MLP,0,0.42165946057236975,0.6605975577183112,0.7469007231262434,0.0
TTL-aware,0,0.7445733698049942,0.8887436690308063,0.9132459623256198,0.0
