augmentation,seed,TPR,FPR,AUROC,AUPRC
0,42,0.4352113297449925,0.31632432432432434,0.6677682995247077,0.7511333292610429
0,123,0.40110738551133857,0.27845945945945944,0.6631622778253414,0.7444933737995101
0,2026,0.42865966646077824,0.2550810810810811,0.6508620958048845,0.7450754663181771
2,42,0.43986587840818847,0.23467567567567568,0.642459612385261,0.7459114449424894
2,123,0.41926233124503665,0.2803243243243243,0.6520151745321603,0.7445247077242436
2,2026,0.4371305038383482,0.2778918918918919,0.647112688727729,0.747071483135173
5,42,0.43174799258801727,0.24602702702702703,0.6584546105489589,0.7514202308436776
5,123,0.419438807023736,0.2694054054054054,0.656764010745944,0.7453792913612347
5,2026,0.4301817700520604,0.26672972972972975,0.633218633218942,0.7439700057683518
10,42,0.4335568693196859,0.23975675675675676,0.6425763907603006,0.7451481443676278
10,123,0.4225050736786376,0.2728108108108108,0.6589318070165815,0.7520532220179922
10,2026,0.43640254125121325,0.28194594594594596,0.6320149861323425,0.7426712595765474
15,42,0.4374393364510721,0.2448108108108108,0.6344820957571884,0.7397346947612811
15,123,0.4201005911938586,0.27554054054054056,0.6195742372788389,0.7327317662635244
15,2026,0.43741727697873467,0.2644864864864865,0.6337127740442287,0.7448529087311835
