Augmentation_%,Seed,TPR,AUROC,AUPRC
0,42,0.42815229859701753,0.6744070127658763,0.7573695832143363
0,123,0.4098429365569576,0.6632963779538825,0.7363832715807438
0,2026,0.42899055854583956,0.6560698209128567,0.7481632815246675
2,42,0.422108003176564,0.6706678776522044,0.7536143539503126
2,123,0.4123356569310862,0.6629161021627822,0.7364929153989881
2,2026,0.4274463954822201,0.6660960543950816,0.7524526629456159
5,42,0.4233212741551222,0.6657669324336248,0.7514434346293359
5,123,0.4148504367775523,0.6608625420620479,0.7435635610024804
5,2026,0.4283949527927292,0.6596775587795507,0.7527882023739315
10,42,0.4199241154151593,0.6372189232711931,0.7395751751004144
10,123,0.4152695667519633,0.6553095564018974,0.7424730074685513
10,2026,0.4280861201800053,0.621326969374298,0.7360998328095435
15,42,0.41533574516897553,0.6155496835956225,0.7329291582746351
15,123,0.42193152739786466,0.6434771025658147,0.7390427822238524
15,2026,0.44443218918203475,0.6638363196095592,0.7587241176499371
