TTL Feature,Scale,Scale (%),RF TPR Mean,RF TPR SD,RF TPR Degradation Mean,RF TPR Degradation SD,RF Evasion Rate Mean,RF Evasion Rate SD,RF AUROC Mean,RF AUROC SD,RF AUPRC Mean,RF AUPRC SD,MLP TPR Mean,MLP TPR SD,MLP TPR Degradation Mean,MLP TPR Degradation SD,MLP Evasion Rate Mean,MLP Evasion Rate SD,MLP AUROC Mean,MLP AUROC SD,MLP AUPRC Mean,MLP AUPRC SD
dttl,-0.15,-15.0,0.6829465572516839,0.030687963671491566,0.0,0.0,0.3170534427483161,0.03068796367149158,0.7995086090568643,0.004852348915078596,0.815072719552945,0.0036445997424237415,0.38370981499455864,0.017148970989535536,0.03794964557781109,0.002888050291847259,0.6162901850054413,0.017148970989535522,0.6460431408753675,0.00783623754214939,0.7333792893900605,0.0040712711731313725
dttl,-0.1,-10.0,0.6829465572516839,0.030687963671491566,0.0,0.0,0.3170534427483161,0.03068796367149158,0.7995086090568643,0.004852348915078596,0.815072719552945,0.0036445997424237415,0.3948572016824024,0.01747330697091316,0.026802258889967328,0.002494476704511915,0.6051427983175977,0.017473306970913153,0.6509602909624528,0.008053654160881616,0.7377172383374595,0.004141306328371962
dttl,-0.05,-5.0,0.6829465572516839,0.030687963671491566,0.0,0.0,0.3170534427483161,0.03068796367149158,0.7995085290664351,0.004852358211476846,0.8150726810246777,0.003644599488049487,0.40717374040412957,0.01811227765844317,0.014485720168240216,0.0009292075409229958,0.5928262595958705,0.018112277658443136,0.6553741844950925,0.008377995283707114,0.7419422845791331,0.003965883596007905
dttl,-0.02,-2.0,0.6829465572516839,0.030687963671491566,0.0,0.0,0.3170534427483161,0.03068796367149158,0.7995083178122092,0.0048525215687209,0.815072581733408,0.003644653609503372,0.4159607635518692,0.0182482421074529,0.005698697020500576,0.00046499637500405316,0.5840392364481308,0.018248242107452906,0.6590248098513231,0.008491827654737143,0.7451938685498852,0.003851499019228265
dttl,0.0,0.0,0.6829465572516839,0.030687963671491566,0.0,0.0,0.3170534427483161,0.03068796367149158,0.7995078016006829,0.004852775439159384,0.8150719990331686,0.0036449532288236803,0.42165946057236975,0.018097566547277174,0.0,0.0,0.5783405394276302,0.01809756654727716,0.6605975577183112,0.008740038499605944,0.7469007231262434,0.0036770808998890787
dttl,0.02,2.0,0.6828436130474426,0.030819990820889265,0.00010294420424128425,0.00017830459209065185,0.31715638695255743,0.03081999082088932,0.7994561125804177,0.00490021368325765,0.8150621761715883,0.0037027592126028853,0.4254316303420689,0.018138793766811746,-0.0037721697696991296,0.00022059472337421226,0.5745683696579311,0.018138793766811732,0.6619293325797341,0.008907257483421978,0.7482698778667162,0.0036831596967663587
dttl,0.05,5.0,0.6828436130474426,0.030819990820889265,0.00010294420424128425,0.00017830459209065185,0.31715638695255743,0.03081999082088932,0.7994561125804177,0.00490021368325765,0.8150621761715883,0.0037027592126028853,0.4254389834995147,0.018142920276698987,-0.003779522927144933,0.0002096617169531945,0.5745610165004853,0.018142920276698987,0.6619309075465654,0.008904522982582447,0.7482723069122774,0.003681267302702215
dttl,0.1,10.0,0.6828436130474426,0.030819990820889265,0.00010294420424128425,0.00017830459209065185,0.31715638695255743,0.03081999082088932,0.7994561125804177,0.00490021368325765,0.8150621761715883,0.0037027592126028853,0.4254389834995147,0.018142920276698987,-0.003779522927144933,0.0002096617169531945,0.5745610165004853,0.018142920276698987,0.6610886536408463,0.009142032346395048,0.747951328284131,0.0036533554528540325
dttl,0.15,15.0,0.6828436130474426,0.030819990820889265,0.00010294420424128425,0.00017830459209065185,0.31715638695255743,0.03081999082088932,0.7994561125804177,0.00490021368325765,0.8150621761715883,0.0037027592126028853,0.4254463366569605,0.018147054786712042,-0.0037868760845907365,0.000198943340369851,0.5745536633430395,0.018147054786712056,0.6606643415784089,0.00926177835690627,0.7477909703856181,0.0036396603983156173
sttl,-0.15,-15.0,0.6654828083178917,0.026067626596336192,0.01746374893379214,0.010870672807542956,0.3345171916821083,0.02606762659633618,0.7982527546517665,0.005727099172457536,0.809395634820356,0.0066356798490025655,0.4127768463778347,0.017801146766238576,0.008882614194535121,0.001897798512396295,0.5872231536221654,0.017801146766238597,0.6505946366268324,0.0101995211766394,0.7378602865397669,0.0036686658210674725
sttl,-0.1,-10.0,0.6654828083178917,0.026067626596336192,0.01746374893379214,0.010870672807542956,0.3345171916821083,0.02606762659633618,0.7982527546517665,0.005727099172457536,0.809395634820356,0.0066356798490025655,0.4161298861731228,0.017968669088478738,0.005529574399247024,0.001325099362550377,0.5838701138268773,0.017968669088478738,0.6542626368979055,0.009531573329118788,0.7414015567309734,0.0034160130096259947
sttl,-0.05,-5.0,0.6654828083178917,0.026067626596336192,0.01746374893379214,0.010870672807542956,0.3345171916821083,0.02606762659633618,0.7982527546517665,0.005727099172457536,0.809395634820356,0.0066356798490025655,0.41861525338980554,0.01785728024575128,0.0030442071825641883,0.0008023706644080682,0.5813847466101943,0.0178572802457513,0.6575156525867613,0.009046417072307354,0.7442911687764284,0.003429596268123958
sttl,-0.02,-2.0,0.6654828083178917,0.026067626596336192,0.01746374893379214,0.010870672807542956,0.3345171916821083,0.02606762659633618,0.7982537440489108,0.0057269277377814095,0.8093992364020323,0.0066347432056128915,0.4205491337980529,0.018037585981186963,0.0011103267743168648,0.00020016261638307824,0.5794508662019471,0.018037585981186943,0.6594872783420499,0.00882603854624536,0.7459732796112689,0.003551329220677442
sttl,0.0,0.0,0.6829465572516839,0.030687963671491566,0.0,0.0,0.3170534427483161,0.03068796367149158,0.7995078016006829,0.004852775439159384,0.8150719990331686,0.0036449532288236803,0.42165946057236975,0.018097566547277174,0.0,0.0,0.5783405394276302,0.01809756654727716,0.6605975577183112,0.008740038499605944,0.7469007231262434,0.0036770808998890787
sttl,0.02,2.0,0.6827333156857555,0.03094017217045979,0.00021324156592839039,0.0002613217395205659,0.31726668431424454,0.03094017217045977,0.7994552026768673,0.00489419592122027,0.8150912537495628,0.0036130893739061286,0.4219388805553104,0.0181932525276614,-0.00027941998294069476,9.947167018492548e-05,0.5780611194446895,0.018193252527661415,0.6606828423212765,0.008756933778585876,0.7470269789258946,0.003706440259495887
