TTL Feature,Scale (%),RF TPR,RF TPR Degradation,RF AUROC,RF AUPRC,MLP TPR,MLP TPR Degradation,MLP AUROC,MLP AUPRC
dttl,-15.0,0.6829 ± 0.0307,0.0000 ± 0.0000,0.7995 ± 0.0049,0.8151 ± 0.0036,0.3837 ± 0.0171,0.0379 ± 0.0029,0.6460 ± 0.0078,0.7334 ± 0.0041
dttl,-10.0,0.6829 ± 0.0307,0.0000 ± 0.0000,0.7995 ± 0.0049,0.8151 ± 0.0036,0.3949 ± 0.0175,0.0268 ± 0.0025,0.6510 ± 0.0081,0.7377 ± 0.0041
dttl,-5.0,0.6829 ± 0.0307,0.0000 ± 0.0000,0.7995 ± 0.0049,0.8151 ± 0.0036,0.4072 ± 0.0181,0.0145 ± 0.0009,0.6554 ± 0.0084,0.7419 ± 0.0040
dttl,-2.0,0.6829 ± 0.0307,0.0000 ± 0.0000,0.7995 ± 0.0049,0.8151 ± 0.0036,0.4160 ± 0.0182,0.0057 ± 0.0005,0.6590 ± 0.0085,0.7452 ± 0.0039
dttl,0.0,0.6829 ± 0.0307,0.0000 ± 0.0000,0.7995 ± 0.0049,0.8151 ± 0.0036,0.4217 ± 0.0181,0.0000 ± 0.0000,0.6606 ± 0.0087,0.7469 ± 0.0037
dttl,2.0,0.6828 ± 0.0308,0.0001 ± 0.0002,0.7995 ± 0.0049,0.8151 ± 0.0037,0.4254 ± 0.0181,-0.0038 ± 0.0002,0.6619 ± 0.0089,0.7483 ± 0.0037
dttl,5.0,0.6828 ± 0.0308,0.0001 ± 0.0002,0.7995 ± 0.0049,0.8151 ± 0.0037,0.4254 ± 0.0181,-0.0038 ± 0.0002,0.6619 ± 0.0089,0.7483 ± 0.0037
dttl,10.0,0.6828 ± 0.0308,0.0001 ± 0.0002,0.7995 ± 0.0049,0.8151 ± 0.0037,0.4254 ± 0.0181,-0.0038 ± 0.0002,0.6611 ± 0.0091,0.7480 ± 0.0037
dttl,15.0,0.6828 ± 0.0308,0.0001 ± 0.0002,0.7995 ± 0.0049,0.8151 ± 0.0037,0.4254 ± 0.0181,-0.0038 ± 0.0002,0.6607 ± 0.0093,0.7478 ± 0.0036
sttl,-15.0,0.6655 ± 0.0261,0.0175 ± 0.0109,0.7983 ± 0.0057,0.8094 ± 0.0066,0.4128 ± 0.0178,0.0089 ± 0.0019,0.6506 ± 0.0102,0.7379 ± 0.0037
sttl,-10.0,0.6655 ± 0.0261,0.0175 ± 0.0109,0.7983 ± 0.0057,0.8094 ± 0.0066,0.4161 ± 0.0180,0.0055 ± 0.0013,0.6543 ± 0.0095,0.7414 ± 0.0034
sttl,-5.0,0.6655 ± 0.0261,0.0175 ± 0.0109,0.7983 ± 0.0057,0.8094 ± 0.0066,0.4186 ± 0.0179,0.0030 ± 0.0008,0.6575 ± 0.0090,0.7443 ± 0.0034
sttl,-2.0,0.6655 ± 0.0261,0.0175 ± 0.0109,0.7983 ± 0.0057,0.8094 ± 0.0066,0.4205 ± 0.0180,0.0011 ± 0.0002,0.6595 ± 0.0088,0.7460 ± 0.0036
sttl,0.0,0.6829 ± 0.0307,0.0000 ± 0.0000,0.7995 ± 0.0049,0.8151 ± 0.0036,0.4217 ± 0.0181,0.0000 ± 0.0000,0.6606 ± 0.0087,0.7469 ± 0.0037
sttl,2.0,0.6827 ± 0.0309,0.0002 ± 0.0003,0.7995 ± 0.0049,0.8151 ± 0.0036,0.4219 ± 0.0182,-0.0003 ± 0.0001,0.6607 ± 0.0088,0.7470 ± 0.0037
sttl,5.0,0.6827 ± 0.0309,0.0002 ± 0.0003,0.7994 ± 0.0049,0.8151 ± 0.0036,0.4220 ± 0.0183,-0.0003 ± 0.0002,0.6605 ± 0.0088,0.7470 ± 0.0037
sttl,10.0,0.6827 ± 0.0309,0.0002 ± 0.0003,0.7994 ± 0.0049,0.8151 ± 0.0036,0.4221 ± 0.0183,-0.0004 ± 0.0003,0.6604 ± 0.0088,0.7469 ± 0.0037
sttl,15.0,0.6827 ± 0.0309,0.0002 ± 0.0003,0.7994 ± 0.0049,0.8151 ± 0.0036,0.4221 ± 0.0184,-0.0004 ± 0.0003,0.6601 ± 0.0089,0.7467 ± 0.0038
