Transformation,DUR Scale,SJIT Scale,DJIT Scale,Seed,RF TPR,RF TPR Degradation,RF Evasion Rate,RF AUROC,RF AUPRC,MLP TPR,MLP TPR Degradation,MLP Evasion Rate,MLP AUROC,MLP AUPRC
ALL CLEAN,1.0,1.0,1.0,42,0.7167122562428306,-0.033765256242830666,0.28328774375716936,0.8051112858645285,0.8191604040250673,0.4352113297449925,-0.011691329744992485,0.5647886702550076,0.6677682995247077,0.7511333292610429
ALL CLEAN,1.0,1.0,1.0,123,0.6567546104297185,0.02619238957028147,0.3432453895702815,0.7967184102394109,0.8138934711336903,0.40110738551133857,0.022412614488661442,0.5988926144886615,0.6631622778253414,0.7444933737995101
ALL CLEAN,1.0,1.0,1.0,2026,0.6753728050825024,0.0075741949174975565,0.3246271949174976,0.7966937086981095,0.8121621219407481,0.42865966646077824,-0.005139666460778236,0.5713403335392218,0.6508620958048845,0.7450754663181771
DUR -5% + SJIT -5% + DJIT -5%,0.95,0.95,0.95,42,0.7163813641577693,-0.03343436415776935,0.2836186358422307,0.8055229749404393,0.8201413865508902,0.4351010323833054,-0.011581032383305379,0.5648989676166947,0.6678670445792126,0.7512185836705005
DUR -5% + SJIT -5% + DJIT -5%,0.95,0.95,0.95,123,0.6569972646254302,0.025949735374569793,0.3430027353745698,0.7969078149556068,0.8144813244640768,0.40090885026030176,0.022611149739698244,0.5990911497396982,0.6631981575570982,0.7445430624515346
DUR -5% + SJIT -5% + DJIT -5%,0.95,0.95,0.95,2026,0.6746227830230301,0.008324216976969834,0.32537721697696986,0.7968069682892105,0.8131694772073023,0.4284831906820789,-0.0049631906820789,0.571516809317921,0.6508808019393257,0.7451085612695726
DUR +5% + SJIT +5% + DJIT +5%,1.05,1.05,1.05,42,0.7164696020471191,-0.0335226020471191,0.28353039795288093,0.8046864934620493,0.8192266825952129,0.4353878055236919,-0.011867805523691877,0.5646121944763081,0.6676653932786576,0.7510353035425452
DUR +5% + SJIT +5% + DJIT +5%,1.05,1.05,1.05,123,0.6567987293743933,0.02614827062560665,0.3432012706256067,0.7962901118713348,0.8137533433681131,0.40128386129003796,0.02223613870996205,0.598716138709962,0.6631202601944572,0.7444385299578804
DUR +5% + SJIT +5% + DJIT +5%,1.05,1.05,1.05,2026,0.6755933998058766,0.007353600194123344,0.3244066001941234,0.7960491893442017,0.8118062177483816,0.42907879643518926,-0.0055587964351892505,0.5709212035648108,0.6508349921659063,0.7450270678376147
DUR -5% + SJIT +5% + DJIT +5%,0.95,1.05,1.05,42,0.7164696020471191,-0.0335226020471191,0.28353039795288093,0.8043657269728919,0.8194337061853332,0.4352333892173299,-0.011713389217329895,0.5647666107826701,0.6676539587213615,0.7509886452345749
DUR -5% + SJIT +5% + DJIT +5%,0.95,1.05,1.05,123,0.6569972646254302,0.025949735374569793,0.3430027353745698,0.7960841276730715,0.8138205896391679,0.4011515044560134,0.022368495543986622,0.5988484955439866,0.6631485162918147,0.7444550171663185
DUR -5% + SJIT +5% + DJIT +5%,0.95,1.05,1.05,2026,0.674093355686932,0.00885364431306801,0.32590664431306804,0.7958867129836092,0.8125816752086026,0.42907879643518926,-0.0055587964351892505,0.5709212035648108,0.6509215547277623,0.7451328046815082
DUR +5% + SJIT -5% + DJIT -5%,1.05,0.95,0.95,42,0.7165357804641312,-0.033588780464131274,0.28346421953586876,0.8055961781069872,0.8197842838044623,0.4353216271066796,-0.01180162710667959,0.5646783728933205,0.6678815290076099,0.7512746082317208
DUR +5% + SJIT -5% + DJIT -5%,1.05,0.95,0.95,123,0.6567987293743933,0.02614827062560665,0.3432012706256067,0.7970351568368863,0.8144205241354487,0.4010412070943263,0.022478792905673728,0.5989587929056737,0.6631730601376988,0.7445319901357346
DUR +5% + SJIT -5% + DJIT -5%,1.05,0.95,0.95,2026,0.6762331245036619,0.006713875496338062,0.3237668754963381,0.7968246415037644,0.8124359218135605,0.428174358069355,-0.004654358069354991,0.571825641930645,0.6507873082316411,0.7450024578853535
