Perturbation (%),Attack Category,Samples,RF TPR,RF TPR Drop,MLP TPR,MLP TPR Drop,MLP TPR Drop SD,MLP TPR Drop CI Low,MLP TPR Drop CI High
-15,Analysis,677.0,0.7805022156573117,0.0,0.9084194977843426,-0.0357459379615953,0.0208475967673587,-0.0616274984546252,-0.0098643774685653
-15,Backdoor,583.0,0.9077186963979416,0.0,0.9324185248713552,-0.0192109777015436,0.0053421651809253,-0.0258430884832697,-0.0125788669198175
-15,DoS,4089.0,0.3428222059183174,0.0,0.7056493030080705,-0.0312056737588652,0.0089299048003653,-0.0422918374959497,-0.0201195100217807
-15,Exploits,11132.0,0.466798418972332,0.0,0.5492633848365074,-0.0834531081566654,0.0153231191252384,-0.1024762233390687,-0.0644299929742622
-15,Fuzzers,6062.0,0.5957109864731112,0.0,0.351270207852194,-0.1137908281095348,0.0197367296983008,-0.138293286082098,-0.0892883701369715
-15,Generic,18871.0,0.9841767791849928,0.0,0.7518202532987124,-0.0009114514334163,0.0035999821579485,-0.0053807030711233,0.0035578002042906
-15,Reconnaissance,3496.0,0.3603546910755149,0.0,0.400858123569794,-0.0974828375286041,0.0112748859862762,-0.1114802131955546,-0.0834854618616535
-15,Shellcode,378.0,0.3941798941798942,0.0,0.3666666666666666,-0.1052910052910053,0.0207802506737095,-0.1310889579698491,-0.0794930526121614
-15,Worms,44.0,0.409090909090909,0.0,0.3272727272727272,-0.1636363636363636,0.0650810048330743,-0.2444321494686981,-0.0828405778040291
-10,Analysis,677.0,0.7805022156573117,0.0,0.9249630723781388,-0.0192023633677991,0.0149180279739469,-0.0377225720879209,-0.0006821546476772
-10,Backdoor,583.0,0.9077186963979416,0.0,0.9403087478559176,-0.0113207547169811,0.0043052831554069,-0.0166656128159611,-0.005975896618001
-10,DoS,4089.0,0.3428222059183174,0.0,0.715920763022744,-0.0209342137441917,0.0063646338939379,-0.0288356835865026,-0.0130327439018808
-10,Exploits,11132.0,0.466798418972332,0.0,0.5797161336687029,-0.0530003593244699,0.0106274426310961,-0.0661939567646111,-0.0398067618843288
-10,Fuzzers,6062.0,0.5957109864731112,0.0,0.3863411415374463,-0.0787198944242824,0.0132727328414231,-0.0951975269196004,-0.0622422619289644
-10,Generic,18871.0,0.9841767791849928,0.0,0.7535371734407292,0.0008054687086004,0.0036549445324254,-0.0037320167900996,0.0053429542073005
-10,Reconnaissance,3496.0,0.3603546910755149,0.0,0.4389588100686499,-0.0593821510297482,0.0066365254769489,-0.0676211647401496,-0.0511431373193469
-10,Shellcode,378.0,0.3941798941798942,0.0,0.4132275132275132,-0.0587301587301587,0.0134114199530545,-0.0753799664123507,-0.0420803510479667
-10,Worms,44.0,0.409090909090909,0.0,0.3772727272727272,-0.1136363636363636,0.0321412173266612,-0.1535385581119428,-0.0737341691607844
-5,Analysis,677.0,0.7805022156573117,0.0,0.9385524372230428,-0.0056129985228951,0.0054672837587361,-0.0124004396324545,0.0011744425866643
-5,Backdoor,583.0,0.9077186963979416,0.0,0.9475128644939966,-0.0041166380789021,0.0019557039881632,-0.0065445760153916,-0.0016887001424126
-5,DoS,4089.0,0.3428222059183174,0.0,0.7263878698948398,-0.0104671068720958,0.0035583062091204,-0.0148846192804453,-0.0060495944637463
-5,Exploits,11132.0,0.466798418972332,0.0,0.6054617319439454,-0.0272547610492274,0.0067059997190064,-0.0355800245954532,-0.0189294975030016
-5,Fuzzers,6062.0,0.5957109864731112,0.0,0.4184097657538766,-0.0466512702078522,0.009652324620576,-0.0586342928244898,-0.0346682475912145
-5,Generic,18871.0,0.9841767791849928,0.0,0.7551163160404853,0.0023846113083567,0.003483552371198,-0.0019400968309988,0.0067093194477123
-5,Reconnaissance,3496.0,0.3603546910755149,0.0,0.4685926773455378,-0.0297482837528604,0.0038109017718747,-0.0344793846966488,-0.0250171828090719
-5,Shellcode,378.0,0.3941798941798942,0.0,0.4444444444444445,-0.0275132275132275,0.0100040584133275,-0.039932915302169,-0.015093539724286
-5,Worms,44.0,0.409090909090909,0.0,0.4363636363636363,-0.0545454545454545,0.0344676156547797,-0.0973357909844448,-0.0117551181064642
-2,Analysis,677.0,0.7805022156573117,0.0,0.9429837518463812,-0.0011816838995568,0.0021909005870298,-0.003901610167807,0.0015382423686933
-2,Backdoor,583.0,0.9077186963979416,0.0,0.9502572898799316,-0.0013722126929673,0.0007670902152657,-0.0023245283018867,-0.000419897084048
-2,DoS,4089.0,0.3428222059183174,0.0,0.7340180973343116,-0.0028368794326241,0.0025391728740361,-0.0059891735351521,0.0003154146699039
-2,Exploits,11132.0,0.466798418972332,0.0,0.622403880704276,-0.0103126122888968,0.0035760232297695,-0.0147521197572431,-0.0058731048205506
-2,Fuzzers,6062.0,0.5957109864731112,0.0,0.445628505443748,-0.0194325305179808,0.0059046278820655,-0.0267629190238532,-0.0121021420121084
-2,Generic,18871.0,0.9841767791849928,0.0,0.7558475968417148,0.0031158921095861,0.003473542374512,-0.0011963889698232,0.0074281731889955
-2,Reconnaissance,3496.0,0.3603546910755149,0.0,0.4886727688787185,-0.0096681922196796,0.0017563022234564,-0.0118485798560906,-0.0074878045832686
-2,Shellcode,378.0,0.3941798941798942,0.0,0.464021164021164,-0.0079365079365079,0.0056119585808456,-0.0149035577655773,-0.0009694581074385
-2,Worms,44.0,0.409090909090909,0.0,0.4727272727272728,-0.0181818181818181,0.0296327382054665,-0.054969823772933,0.0186061874092967
0,Analysis,677.0,0.7805022156573117,0.0,0.944165435745938,0.0,0.0,0.0,0.0
0,Backdoor,583.0,0.9077186963979416,0.0,0.9516295025728988,0.0,0.0,0.0,0.0
0,DoS,4089.0,0.3428222059183174,0.0,0.7368549767669357,0.0,0.0,0.0,0.0
0,Exploits,11132.0,0.466798418972332,0.0,0.6327164929931728,0.0,0.0,0.0,0.0
0,Fuzzers,6062.0,0.5957109864731112,0.0,0.4650610359617288,0.0,0.0,0.0,0.0
