Feature,Scale,Perturbation_%,Seed,RF TPR,RF TPR Degradation,RF Evasion Rate,RF AUROC,RF AUPRC,MLP TPR,MLP TPR Degradation,MLP Evasion Rate,MLP AUROC,MLP AUPRC
sjit,0.9,-9.999999999999998,42,0.716624018353481,-0.033677018353481025,0.283375981646519,0.8058227408119317,0.8198085005154006,0.435078972910968,-0.011558972910967968,0.564921027089032,0.6678744628220386,0.7512883667239665
sjit,0.9,-9.999999999999998,123,0.6570634430424425,0.025883556957557508,0.34293655695755754,0.7973317097760427,0.8144627351934193,0.40071031500926496,0.022809684990735046,0.599289684990735,0.663173946690006,0.7445240267564197
sjit,0.9,-9.999999999999998,2026,0.675924291890938,0.007022708109062026,0.32407570810906206,0.7971201421464702,0.8126740656784261,0.427755228094944,-0.004235228094943977,0.5722447719050561,0.6507395485797277,0.7449594523804088
sjit,0.95,-5.000000000000004,42,0.7166460778258185,-0.03369907782581849,0.28335392217418154,0.8055130007798321,0.8195169238645171,0.4351010323833054,-0.011581032383305379,0.5648989676166947,0.6678209492250566,0.7512111865769899
sjit,0.95,-5.000000000000004,123,0.6567104914850437,0.02623650851495629,0.3432895085149563,0.7970775602104354,0.8141992091384823,0.40077649342627725,0.02274350657372276,0.5992235065737228,0.6631712435103417,0.7445100175790831
sjit,0.95,-5.000000000000004,2026,0.6755492808612018,0.0073977191387981645,0.3244507191387982,0.7969520552273797,0.8123645330322631,0.4284170122650666,-0.004897012265066614,0.5715829877349334,0.6508052041276254,0.745021588669844
sjit,1.0,0.0,42,0.7167122562428306,-0.033765256242830666,0.28328774375716936,0.8051112858645285,0.8191604040250673,0.4352113297449925,-0.011691329744992485,0.5647886702550076,0.6677682995247077,0.7511333292610429
sjit,1.0,0.0,123,0.6567546104297185,0.02619238957028147,0.3432453895702815,0.7967184102394109,0.8138934711336903,0.40110738551133857,0.022412614488661442,0.5988926144886615,0.6631622778253414,0.7444933737995101
sjit,1.0,0.0,2026,0.6753728050825024,0.0075741949174975565,0.3246271949174976,0.7966937086981095,0.8121621219407481,0.42865966646077824,-0.005139666460778236,0.5713403335392218,0.6508620958048845,0.7450754663181771
sjit,1.05,5.000000000000004,42,0.7165357804641312,-0.033588780464131274,0.28346421953586876,0.8045646578039258,0.818790893069943,0.4352995676343422,-0.01177956763434218,0.5647004323656578,0.667716471092552,0.7510530507080315
sjit,1.05,5.000000000000004,123,0.6567546104297185,0.02619238957028147,0.3432453895702815,0.7962904871804656,0.8135240136914759,0.40117356392835085,0.022346436071649156,0.5988264360716491,0.6631513804460067,0.7444747773616474
sjit,1.05,5.000000000000004,2026,0.6751080914144534,0.007838908585546589,0.3248919085855466,0.7962625697258187,0.8117924752718855,0.42905673696285185,-0.00553673696285184,0.5709432630371482,0.6509122000209864,0.7451238561511216
sjit,1.1,10.000000000000009,42,0.7165798994088062,-0.033632899408806205,0.2834201005911938,0.8040378910190522,0.8184332895109275,0.4353878055236919,-0.011867805523691877,0.5646121944763081,0.6676642849392231,0.7509630105427907
sjit,1.1,10.000000000000009,123,0.6567325509573811,0.026214449042618826,0.34326744904261886,0.795933580717398,0.8132813228612723,0.4012397423453631,0.022280257654636926,0.5987602576546369,0.6631381548980375,0.7444547662768162
sjit,1.1,10.000000000000009,2026,0.6749536751080915,0.007993324891908515,0.32504632489190854,0.7958789587809817,0.811557072002721,0.42934351010323835,-0.0058235101032383385,0.5706564898967617,0.6509497890637482,0.7451711574423618
djit,0.9,-9.999999999999998,42,0.7166019588811435,-0.03365495888114356,0.28339804111885647,0.8051562904672077,0.8192989911048705,0.43525544868966737,-0.01173544868966736,0.5647445513103326,0.6678748318710488,0.7512011164245348
djit,0.9,-9.999999999999998,123,0.6567987293743933,0.02614827062560665,0.3432012706256067,0.7966906561440996,0.8139971357760409,0.40108532603900116,0.022434673960998852,0.5989146739609988,0.6631904781778161,0.7445490001614125
djit,0.9,-9.999999999999998,2026,0.6755492808612018,0.0073977191387981645,0.3244507191387982,0.79678721641654,0.812297306028766,0.4287037854054531,-0.005183785405453112,0.5712962145945468,0.6509250326718672,0.7451374301851533
djit,0.95,-5.000000000000004,42,0.7166681372981558,-0.033721137298155845,0.2833318627018442,0.8051561807660479,0.8191683192207191,0.4352995676343422,-0.01177956763434218,0.5647004323656578,0.6678228394833552,0.751168663690603
djit,0.95,-5.000000000000004,123,0.6567325509573811,0.026214449042618826,0.34326744904261886,0.7967493608715042,0.8139740484050718,0.40108532603900116,0.022434673960998852,0.5989146739609988,0.6631774538480066,0.7445215882366834
djit,0.95,-5.000000000000004,2026,0.6756154592782141,0.007331540721785879,0.3243845407217859,0.7967946754992,0.8122486923636307,0.42865966646077824,-0.005139666460778236,0.5713403335392218,0.6508942451010086,0.7451149186325088
djit,1.0,0.0,42,0.7167122562428306,-0.033765256242830666,0.28328774375716936,0.8051112858645285,0.8191604040250673,0.4352113297449925,-0.011691329744992485,0.5647886702550076,0.6677682995247077,0.7511333292610429
djit,1.0,0.0,123,0.6567546104297185,0.02619238957028147,0.3432453895702815,0.7967184102394109,0.8138934711336903,0.40110738551133857,0.022412614488661442,0.5988926144886615,0.6631622778253414,0.7444933737995101
djit,1.0,0.0,2026,0.6753728050825024,0.0075741949174975565,0.3246271949174976,0.7966937086981095,0.8121621219407481,0.42865966646077824,-0.005139666460778236,0.5713403335392218,0.6508620958048845,0.7450754663181771
djit,1.05,5.000000000000004,42,0.7167122562428306,-0.033765256242830666,0.28328774375716936,0.8050515669975985,0.8192566906097418,0.4352113297449925,-0.011691329744992485,0.5647886702550076,0.6677128122011537,0.7510933549928112
djit,1.05,5.000000000000004,123,0.6566663725403689,0.026280627459631112,0.34333362745963114,0.7967041004981864,0.8139434108213599,0.40110738551133857,0.022412614488661442,0.5988926144886615,0.6631446239873511,0.7444638864230539
djit,1.05,5.000000000000004,2026,0.6753286861378276,0.007618313862172377,0.3246713138621724,0.7966245063447812,0.8121966809028017,0.42874790435012794,-0.005227904350127932,0.5712520956498721,0.6508300821447054,0.7450325936638709
djit,1.1,10.000000000000009,42,0.716624018353481,-0.033677018353481025,0.283375981646519,0.8049945089799938,0.81923558320476,0.4352333892173299,-0.011713389217329895,0.5647666107826701,0.6676572199460558,0.7510517314014415
djit,1.1,10.000000000000009,123,0.6566001941233566,0.026346805876643398,0.3433998058766434,0.7966256799683298,0.8139003875362796,0.40101914762198887,0.022500852378011138,0.5989808523780111,0.6631242484874356,0.7444332446383503
djit,1.1,10.000000000000009,2026,0.6752625077208153,0.007684492279184663,0.3247374922791847,0.7964512402193069,0.8121035330479132,0.4287920232948028,-0.005272023294802808,0.5712079767051972,0.6507983776152398,0.7449761835834595
