Seed,TTL Feature,Perturbation (%),Attack Category,Samples,RF TPR,MLP TPR
42,sttl,-15,Analysis,677,0.7769571639586411,0.9896602658788775
42,sttl,-15,Backdoor,583,0.902229845626072,0.9622641509433962
42,sttl,-15,DoS,4089,0.25874296894106136,0.8185375397407679
42,sttl,-15,Exploits,11132,0.3779195113187208,0.6377111031261229
42,sttl,-15,Fuzzers,6062,0.5917189046519301,0.43615968327284727
42,sttl,-15,Generic,18871,0.9760479041916168,0.5322982353876318
42,sttl,-15,Reconnaissance,3496,0.3489702517162471,0.4782608695652174
42,sttl,-15,Shellcode,378,0.3941798941798942,0.48148148148148145
42,sttl,-15,Worms,44,0.38636363636363635,0.45454545454545453
42,sttl,-10,Analysis,677,0.7769571639586411,0.9896602658788775
42,sttl,-10,Backdoor,583,0.902229845626072,0.9622641509433962
42,sttl,-10,DoS,4089,0.25874296894106136,0.8219613597456591
42,sttl,-10,Exploits,11132,0.3779195113187208,0.6411246855910887
42,sttl,-10,Fuzzers,6062,0.5917189046519301,0.4519960409105906
42,sttl,-10,Generic,18871,0.9760479041916168,0.5698691113348524
42,sttl,-10,Reconnaissance,3496,0.3489702517162471,0.505720823798627
42,sttl,-10,Shellcode,378,0.3941798941798942,0.49206349206349204
42,sttl,-10,Worms,44,0.38636363636363635,0.45454545454545453
42,sttl,-5,Analysis,677,0.7769571639586411,0.9926144756277696
42,sttl,-5,Backdoor,583,0.902229845626072,0.9656946826758147
42,sttl,-5,DoS,4089,0.25874296894106136,0.8244069454634385
42,sttl,-5,Exploits,11132,0.3779195113187208,0.6447179302910528
42,sttl,-5,Fuzzers,6062,0.5917189046519301,0.4722863741339492
42,sttl,-5,Generic,18871,0.9760479041916168,0.6108314344761804
42,sttl,-5,Reconnaissance,3496,0.3489702517162471,0.5208810068649885
42,sttl,-5,Shellcode,378,0.3941798941798942,0.5026455026455027
42,sttl,-5,Worms,44,0.38636363636363635,0.45454545454545453
42,sttl,-2,Analysis,677,0.7769571639586411,0.9926144756277696
42,sttl,-2,Backdoor,583,0.902229845626072,0.9656946826758147
42,sttl,-2,DoS,4089,0.25874296894106136,0.8248960626069943
42,sttl,-2,Exploits,11132,0.3779195113187208,0.6466043837585339
42,sttl,-2,Fuzzers,6062,0.5917189046519301,0.48729792147806006
42,sttl,-2,Generic,18871,0.9760479041916168,0.6424142864713052
42,sttl,-2,Reconnaissance,3496,0.3489702517162471,0.5300343249427918
42,sttl,-2,Shellcode,378,0.3941798941798942,0.5079365079365079
42,sttl,-2,Worms,44,0.38636363636363635,0.4772727272727273
42,sttl,0,Analysis,677,0.7769571639586411,0.9926144756277696
42,sttl,0,Backdoor,583,0.902229845626072,0.9656946826758147
42,sttl,0,DoS,4089,0.27879677182685253,0.8256297383223282
42,sttl,0,Exploits,11132,0.41699604743083,0.647502694933525
42,sttl,0,Fuzzers,6062,0.592708677004289,0.49934015176509405
42,sttl,0,Generic,18871,0.9771607228021832,0.6614381855757512
42,sttl,0,Reconnaissance,3496,0.3504004576659039,0.5334668192219679
42,sttl,0,Shellcode,378,0.3941798941798942,0.5105820105820106
42,sttl,0,Worms,44,0.38636363636363635,0.4772727272727273
42,sttl,2,Analysis,677,0.7769571639586411,0.9926144756277696
42,sttl,2,Backdoor,583,0.902229845626072,0.9656946826758147
42,sttl,2,DoS,4089,0.27879677182685253,0.8256297383223282
42,sttl,2,Exploits,11132,0.41699604743083,0.6479518505210204
42,sttl,2,Fuzzers,6062,0.593038601121742,0.5021445067634444
42,sttl,2,Generic,18871,0.9771607228021832,0.6656774945683853
42,sttl,2,Reconnaissance,3496,0.3504004576659039,0.5334668192219679
42,sttl,2,Shellcode,378,0.3941798941798942,0.5132275132275133
42,sttl,2,Worms,44,0.38636363636363635,0.4772727272727273
42,sttl,5,Analysis,677,0.7769571639586411,0.9926144756277696
42,sttl,5,Backdoor,583,0.902229845626072,0.9656946826758147
42,sttl,5,DoS,4089,0.27879677182685253,0.826118855465884
42,sttl,5,Exploits,11132,0.41699604743083,0.648401006108516
42,sttl,5,Fuzzers,6062,0.593038601121742,0.5021445067634444
42,sttl,5,Generic,18871,0.9771607228021832,0.6657304859307933
42,sttl,5,Reconnaissance,3496,0.3504004576659039,0.5334668192219679
42,sttl,5,Shellcode,378,0.3941798941798942,0.5132275132275133
42,sttl,5,Worms,44,0.38636363636363635,0.4772727272727273
42,sttl,10,Analysis,677,0.7769571639586411,0.9926144756277696
42,sttl,10,Backdoor,583,0.902229845626072,0.9656946826758147
42,sttl,10,DoS,4089,0.27879677182685253,0.8270970897529959
42,sttl,10,Exploits,11132,0.41699604743083,0.6495688106360044
42,sttl,10,Fuzzers,6062,0.593038601121742,0.5021445067634444
42,sttl,10,Generic,18871,0.9771607228021832,0.6657304859307933
